Assignee,Blockchain ecosystem,Date Created,Description,Impact Area,Logo,Name,preJan20th) Upvotes,Reviewed?,Submitted by (email),Submitted by (name),Submitted by owner?,Subscribed,Topic,Upvotes,Web3
http://www.climatecollective.org,Celo,5/7/2022 11:03 AM,The Climate Collective is an effort driven by the Celo community to fight climate change by tokenizing rainforests and other carbon sequestering assets to enable natural capital backed stablecoins on the Celo platform.,Innovation,,Climate Collective,3,checked,,,,,"Community,Fundraising",0,
https://www.climateledger.org/,Not applicable,5/7/2022 11:03 AM,"The Climate Ledger Initiative (“CLI”) addresses this challenge with one of the world’s most promising technological innovations; blockchain and distributed ledger technology combined with other innovative information technologies such as Internet of Things (IoT), Artificial Intelligence (AI), and the use of remote sensing.",Innovation,,Climate Ledger Initiative,0,checked,,,,,"Consulting,Fundraising,Initiative",0,
https://climatefutures.io/about/,Polygon,5/7/2022 11:03 AM,Developed by a team with 20+ years experience in carbon. 1PLANET enables automated carbon offsetting between smart contracts and our 1PLANET Marketplace (www.1PLANET.app) gives access to eco-assets around the world.,Carbon,,Climatefutures.io,0,checked,,,,,"Marketplace,Offsetting",0,Token
https://clr.fund/#/about,Ethereum,5/7/2022 11:03 AM,"Clr.fund is a protocol for efficiently allocating funds to public goods that benefit the Ethereum Network according to the preferences of the Ethereum Community. Clr.fund strives for credible neutrality, decentralization, permissionlessness, trustlessness, and pseudonymity.",Infrastructure,,Clr.fund,0,checked,,,,,Fundraising,0,dApp
https://co2bit.com/,Ethereum,5/7/2022 11:03 AM,Co2Bit has agreements with Sovereign Nation States and NGOs to use Co2Bitcoins (Co2B) to help finance environmental/humanitarian projects. There are 1.5B Co2 minted. They do not trade publicly on an exchange at this time,Social justice,,Co2bit,0,checked,,,,,"Fundraising,Currency,Payments,Charity,Offsetting",0,"Token,Wallet"
https://cryptoclimate.org/,Not applicable,5/7/2022 11:03 AM,"CCA is a private sector-led initiative for the entire crypto community focused on decarbonizing the cryptocurrency and blockchain industry in record time. Together, we will #MakeCryptoGreen.",Politics & activism,,Crypto Climate Accord,0,checked,,,,,"Consulting,Accounting,Initiative",0,
https://cryptotrunks.co/,Ethereum,5/7/2022 11:03 AM,"CryptoTrunks are generative NFTs that use oracles to create a specialized NFT just for you. We look at your transaction history to calculate just how much you've fucked up the environment. The size of your trunk is representative of how much damage you've done, so you can display to future generations how badly you've screwed them over.",Nature,,Cryptotrunks,0,checked,,,,,Accounting,0,"NFT,Metaverse"
https://www.curvelabs.eu/,Celo,5/7/2022 11:03 AM,"We are an innovation network working with Web3 primitives to design, develop and improve blockchain-native organizations more than the sum of their parts.",Innovation,,Curve Labs,2,checked,,,,,Consulting,0,
https://www.cut.eco/,Ethereum,5/7/2022 11:03 AM,"Carbon credits certified by Landfill gas and Biomass projects. Our ambitious blockchain project allows you to reduce your carbon footprint transparently on-chain, in any amount, at any time. ",Carbon,,Cut,0,checked,,,,,Offsetting,0,Token
https://twitter.com/dao_nation?lang=en,Polygon,5/7/2022 11:03 AM,"DAO Nation provides a financial and organizational infrastructure for protocols and individuals to build and promote ESG-minded projects - via incubation, funding and collaboration.",Infrastructure,,DAO Nation,0,checked,,,,,Community,0,DAO
